OBJECTID,COMPKEY,COMPTYPE,SEGKEY,INTKEY,ELMNTKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,SIGNTYPE,CATEGORY,CATEGORYDESCR,UNITDESC,FACING,SUPPORTKEY,SUPPORTID,SUPPORT,SUPPORTDESCR,COLOR1,SIGNSZ,REFLECTIVEYN,FIELDNOTES,CUSTOM,STARTDAY,ENDDAY,STARTTIME,ENDTIME,SIDE,OWNERSHIP,CURRENT_STATUS,CONDITION,TEXT,SHAPE,ADDDTTM,MODDTTM,INSTDATE,EXPDATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT
1,124828,20,14255,1,36849,233,23,SGN-73288,01-RS,R7-PKA,PPEAK,"Peak Parking Restrictions, TOW                                                                                                                                                                                                                                 ",E JOHN ST 0210 BLOCK N SIDE ( 220) 30 FT W/O 22ND AVE E (R7-PKA )                                                                                                                                                                                              ,E,417529,SAS-64657,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W,12x18,N,,N,1,5,700,900,N, ,INSVC, ,NO PARKING 7-9AM EXC SAT-SUN-HOL TOW-AWAY ZONE PHONE 684-5444,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3037968,47.620277
2,123028,20,13959,1,14025,187,17,SGN-71708,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",E DENNY WAY 0150 BLOCK N SIDE ( 174) 120 FT W/O 16TH AVE (R7-NP )                                                                                                                                                                                              ,E,416144,SAS-63272,WP,Wood Post                                                                                                                                                                                                                                                      ,R/W, ,N,,N,1,7,0,2359,N, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3119854,47.61856496
3,129296,20,14796,30033,37333,13,17,SGN-79038,01-RS,R1-1,REGMIS,Regulatory-Miscellaneous                                                                                                                                                                                                                                       ,E SPRING ST 0280 BLOCK N SIDE (   0) 0 FT E/O M L KING JR WAY (R1-1 W/R105)                                                                                                                                                                                    ,E,420971,SAS-68099,WP,Wood Post                                                                                                                                                                                                                                                      ,W/R, ,Y,W/R105,N,,,,,N, ,INSVC, ,STOP,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.2962202,47.61167642
4,130880,20,2185,1,25162,294,-32,SGN-78504,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",15TH AVE W 0170 BLOCK E SIDE ( 281) 115 FT S/O W HOWE ST (R7-NP )                                                                                                                                                                                              ,S,359686,SAS-6814,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W,,N,,N,1,7,0,2359,E, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,08/20/2012 12:00:00 AM +0000,,,DISTRICT7, ,N,,-122.3760069,47.63562742
5,130479,20,15022,1,60377,167,17,SGN-79769,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",N 106TH ST 0200 BLOCK N SIDE ( 154) 150 FT W/O BAGLEY AVE N (R7-NP W/R160E)                                                                                                                                                                                    ,E,421913,SAS-69041,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W, ,N,W/R160E,N,1,7,0,2359,N, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT5, ,N,,-122.3332679,47.70598512
6,123290,20,2930,1,97487,0,,SGN-71770,02-WS,OM1-3,WARNH,Warning-Hazard                                                                                                                                                                                                                                                 ,20TH AVE 0015 BLOCK C SIDE (   0) 0 FT N/O E FIR ST (OM1-3 )                                                                                                                                                                                                   ,E,363437,SAS-10565,WP,Wood Post                                                                                                                                                                                                                                                      ,YELLOW,18x18,Y,,N,,,,,C, ,INSVC, ,[YELLOW DIAMOND MARKER],,07/16/2002 12:00:00 AM +0000,07/14/2010 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3063497,47.60267346
7,131001,20,15133,1,37685,260,19,SGN-79854,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",N 125TH ST 0130 BLOCK N SIDE ( 230) 230 FT E/O STONE AVE N (R7-NP )                                                                                                                                                                                            ,E,422349,SAS-69477,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W, ,N,,N,1,7,0,2359,N, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT5, ,N,,-122.3411936,47.71962364
8,126461,20,14411,1,59793,57,37,SGN-76252,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",EAST MARGINAL WAY S 0680 BLOCK NE SIDE (  34) 34 FT SE/O S BRIGHTON ST (R7-NP )                                                                                                                                                                                ,S,418717,SAS-65845,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W, ,N,,N,1,7,0,2359,NE, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT2, ,N,,-122.3253537,47.54152925
9,123757,20,14095,1,59417,214,17,SGN-73934,01-RS,R7-RPZ1,PRZ,Restricted Parking Zone permited parking                                                                                                                                                                                                                       ,E HAMLIN ST 0180 BLOCK N SIDE ( 201) 270 FT W/O 19TH AVE E (R7-RPZ1 )                                                                                                                                                                                          ,E,416705,SAS-63833,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,RED/WHITE,12x18,N,,N,1,6,700,1800,N,SDOT,INSVC,GOOD,NO PARKING (VARIABLE DATES & TIMES) EXC BY ZN 1 PERMIT,,07/16/2002 12:00:00 AM +0000,08/25/2010 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3082059,47.64561628
10,131670,20,15282,1,83190,174,-27,SGN-80417,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",N 145TH ST 0230 BLOCK S SIDE ( 151) 135 FT W/O SUNNYSIDE AVE N (R7-NP )                                                                                                                                                                                        ,W,422879,SAS-70007,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W, ,N,,N,1,7,0,2359,S, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT5, ,N,,-122.3308742,47.73403626
